Time,Currency,Cash Rate,
,,Buying,"Selling"
09:01,Japanese Yen (JPY),0.2901,0.3011
09:03,Japanese Yen (JPY),0.2904,0.3014
09:06,Japanese Yen (JPY),0.2903,0.3013
09:07,Japanese Yen (JPY),0.2904,0.3014
09:08,Japanese Yen (JPY),0.2904,0.3014
09:09,Japanese Yen (JPY),0.2902,0.3012
09:12,Japanese Yen (JPY),0.2904,0.3014
09:13,Japanese Yen (JPY),0.2909,0.3019
09:14,Japanese Yen (JPY),0.2915,0.3025
09:15,Japanese Yen (JPY),0.2905,0.3015
09:16,Japanese Yen (JPY),0.2907,0.3017
09:21,Japanese Yen (JPY),0.291,0.302
09:22,Japanese Yen (JPY),0.291,0.302
09:24,Japanese Yen (JPY),0.291,0.302
09:25,Japanese Yen (JPY),0.2909,0.3019
09:29,Japanese Yen (JPY),0.2913,0.3023
09:30,Japanese Yen (JPY),0.2913,0.3023
09:31,Japanese Yen (JPY),0.2913,0.3023
09:33,Japanese Yen (JPY),0.2911,0.3021
09:34,Japanese Yen (JPY),0.2913,0.3023
09:38,Japanese Yen (JPY),0.2914,0.3024
09:42,Japanese Yen (JPY),0.2916,0.3026
09:43,Japanese Yen (JPY),0.2918,0.3028
09:45,Japanese Yen (JPY),0.2919,0.3029
09:47,Japanese Yen (JPY),0.2921,0.3031
09:48,Japanese Yen (JPY),0.2924,0.3034
09:49,Japanese Yen (JPY),0.2926,0.3036
09:52,Japanese Yen (JPY),0.2924,0.3034
09:54,Japanese Yen (JPY),0.2924,0.3034
09:54,Japanese Yen (JPY),0.2925,0.3035
09:55,Japanese Yen (JPY),0.2927,0.3037
09:57,Japanese Yen (JPY),0.2928,0.3038
09:59,Japanese Yen (JPY),0.293,0.304
10:00,Japanese Yen (JPY),0.2934,0.3044
10:01,Japanese Yen (JPY),0.2946,0.3056
10:03,Japanese Yen (JPY),0.2945,0.3055
10:03,Japanese Yen (JPY),0.2944,0.3054
10:05,Japanese Yen (JPY),0.2956,0.3066
10:05,Japanese Yen (JPY),0.2962,0.3072
10:07,Japanese Yen (JPY),0.2961,0.3071
10:13,Japanese Yen (JPY),0.2962,0.3072
10:13,Japanese Yen (JPY),0.296,0.307
10:14,Japanese Yen (JPY),0.2966,0.3076
10:15,Japanese Yen (JPY),0.2972,0.3082
10:16,Japanese Yen (JPY),0.297,0.308
10:19,Japanese Yen (JPY),0.2967,0.3077
10:21,Japanese Yen (JPY),0.2974,0.3084
